Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-77,Gear Campus8 25L Water Resistant School Bag/Backpack/College Bag for Men/Women - Green Grey,₹674,4.1 out of 5 stars,"1,244"
https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-78,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),₹512,4.0 out of 5 stars,"6,453"
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-79,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0 out of 5 stars,"5,603"
https://www.amazon.in/Genie-Snowflake-School-Backpack-resistant/dp/B084VR37RQ/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-80,"Genie Snowflake 36 Litres Teal & Blue School Backpack (19 inch, Water resistant)","₹1,104",4.3 out of 5 stars,"1,191"
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6/ref=sr_1_193?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-193,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",₹399,4.2 out of 5 stars,115
https://www.amazon.in/HYDER-Gamepad-Waterproof-Backpack-Everyday/dp/B0BR3KK8TR/ref=sr_1_194?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-194,"HYDER 35L Latest And Trendy Stylish Waterproof College/Casual/School Bag/Backpack For Kids, Boys, Girls, Men And Women | Best Bags For Everyday Use",₹729,4.2 out of 5 stars,162
https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903338054702/dp/B012D51GXO/ref=sr_1_195?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-195,Wildcraft Turnaround Polyester 35 Ltrs Blue Laptop Bag (8903338054702),"₹1,840",4.4 out of 5 stars,"1,222"
https://www.amazon.in/bg1905-Capacity-Laptop-Travelling-Backpack/dp/B082MKHDJ1/ref=sr_1_196?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-196,TSPARK Red Lemon bg1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and Women,"₹2,799",4.1 out of 5 stars,96
https://www.amazon.in/Frantic-Velvet-School-Nursery-Travelling/dp/B09176PYDR/ref=sr_1_197?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-197,Frantic Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Year Age,₹299,3.8 out of 5 stars,"2,124"
https://www.amazon.in/American-Tourister-Casual-Travel-Duffle/dp/B00FRCNRPQ/ref=sr_1_198?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-198,American Tourister X - Bag Nylon 55 Cms Travel Duffle Bag (Black),"₹1,899",4.3 out of 5 stars,676
https://www.amazon.in/Trunkit-Waterproof-Travelling-Trekking-Backpack/dp/B08GZB73RZ/ref=sr_1_199?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-199,Trunkit Waterproof Travelling Trekking Hiking Camping Bag Backpack Series 55 litres Mt Calling Rucksack with Rain Cover,₹559,4.0 out of 5 stars,"1,035"
https://www.amazon.in/Gear-ltr-Black-Orange-DUFPRO2000106/dp/B00Z93WSVW/ref=sr_1_200?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-200,Gear polyester 44 cms Duffle Bag(DUFPRO2000106_Black),₹429,4.3 out of 5 stars,837
https://www.amazon.in/Martucci-Waterproof-Backpack-College-Business/dp/B0BRJRVH6D/ref=sr_1_201?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-201,Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹809,3.6 out of 5 stars,169
https://www.amazon.in/Dolfin-Backpack-Charging-Resistant-Compartment/dp/B0C5RNGRBP/ref=sr_1_202?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-202,"Dolfin WaterProof Unisex Laptop Backpack 32L with USB Charging Port C, 15.6 inch Compartment, Water-Resistant and Scratch Resistant, Premium Material Laptop Office Bag for Men and Women","₹1,699",5.0 out of 5 stars,3
https://www.amazon.in/Dell-Essential-Backpack-15-ES1520P/dp/B07TTCXHRH/ref=sr_1_203?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-203,Dell Essential Backpack 15 (ES1520P),"₹1,149",4.0 out of 5 stars,"6,513"
https://www.amazon.in/Gear-Black-Laptop-Backpack-BUSCLIMBR0109/dp/B015C73FCA/ref=sr_1_204?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-204,Gear Climber 35L Water Resistant Office Laptop Bag/Backpack for Men/Women(Black),"₹1,099",4.0 out of 5 stars,358
https://www.amazon.in/Safari-Swagpack-Backpack-Compartments-Raincover/dp/B09B25QMKY/ref=sr_1_205?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-205,Safari Swagpack 35 Ltrs Large Laptop Backpack With 3 Compartments and Raincover - Black (SWAGPACK19CBBLK),"₹1,255",3.7 out of 5 stars,503
https://www.amazon.in/Amazon-15-6-Inch-Backpack-College-Anti-Theft/dp/B0C8NWKRRH/ref=sr_1_206?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-206,"Amazon Basics Slope 15.6-Inch Laptop Backpack for Office or College, Anti-Theft Design (23 L, Black)",₹869,4.3 out of 5 stars,218
https://www.amazon.in/Safari-Polyester-Cms-Travel-KRYPTON17DFBLK_Black/dp/B097L3XJ38/ref=sr_1_207?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-207,Safari Polyester 24 Cms Travel Bag(KRYPTON17DFBLK_Black),₹690,4.0 out of 5 stars,47
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJ64SH/ref=sr_1_208?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-208,"Genie Fringe Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres","₹1,305",4.5 out of 5 stars,15
